email,secret,name,host,auth,subject,plain,html,read_receipt
john.doe@example.com,JD@2022,John Doe,smtp.example.com,Plain,"Hello {{name}}, this is a test email",text_message.example.txt,html_message.example.html,
jane.smith@example.com,Smith123!,,smtp.example.com,Plain,"Hello {{name}}, this is a test email",text_message.example.txt,html_message.example.html,
alexander@mail.com,Password123,Alexander,smtp.mail.com,Login,"Hello {{name}}, this is a test email",text_message.example.txt,html_message.example.html,
emily_jones@example.com,StrongPass456,Emily Jones,smtp.example.com,Plain,"Hello {{name}}, this is a test email",text_message.example.txt,html_message.example.html,
michael.brown@example.com,Brownie2020,,smtp.example.com,Plain,"Hello {{name}}, this is a test email",text_message.example.txt,html_message.example.html,
sarah.wilson@example.com,SecurePW789,Sarah,smtp.example.com,Plain,"Hello {{name}}, this is a test email",text_message.example.txt,html_message.example.html,
david_clark@example.com,Clarky@2021,David,smtp.example.com,Plain,"Hello {{name}}, this is a test email",text_message.example.txt,html_message.example.html,
olivia_martin@example.com,MartinPass!,,smtp.example.com,Login,"Hello {{name}}, this is a test email",text_message.example.txt,html_message.example.html,
william.johnson@example.com,Johnson@123,,smtp.example.com,Plain,"Hello {{name}}, this is a test email",text_message.example.txt,html_message.example.html,
emma_anderson@example.com,AndersonPW456,Emma Anderson,smtp.example.com,Plain,"Hello {{name}}, this is a test email",text_message.example.txt,html_message.example.html,
